                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0933,                 4.2984,                 3.3938,                 2.7885,                 5.7634,                 3.1999,                0.00027,                0.14013,                0.00022,                  7e-05,                  3.098,                 5.0501,                 3.4711,                  2.666,                 5.9348,                 3.1348,               0.067254,             0.00033077,             0.00033077
                      2,                 2.6468,                 4.0693,                 2.9249,                 2.2917,                 4.6521,                 2.5924,                0.00225,                 0.5595,                0.00548,                0.00171,                 2.5466,                 5.1145,                   3.02,                 2.2721,                 24.856,                 2.8258,               0.034252,             0.00066191,             0.00066191
                      3,                 2.3252,                 3.6577,                 2.6956,                 2.0439,                 4.1229,                 2.3744,                 0.1407,                0.08385,                 0.0578,                0.02388,                 2.1406,                 3.5282,                 2.6735,                 1.9407,                  3.917,                 2.4117,              0.0012473,             0.00099085,             0.00099085
                      4,                 2.0291,                 3.1839,                 2.4292,                 1.8372,                 3.6136,                 2.1707,                0.18934,                 0.1471,                0.08398,                0.04043,                  1.895,                 3.1204,                 2.4553,                  1.757,                 3.5129,                 2.2351,              0.0009901,              0.0009901,              0.0009901
                      5,                 1.8385,                 2.8457,                 2.2667,                 1.7196,                 3.2484,                 2.0613,                0.21381,                0.20508,                0.14351,                0.07489,                  1.706,                 2.6326,                 2.2695,                 1.6397,                   3.01,                 2.1239,              0.0009901,              0.0009901,              0.0009901
                      6,                 1.6686,                 2.5825,                 2.1209,                 1.5975,                 2.9456,                 1.9601,                 0.2722,                0.24997,                0.18736,                0.11763,                 1.4795,                 2.4198,                  2.051,                  1.465,                 2.7145,                  1.932,              0.0009868,              0.0009868,              0.0009868
                      7,                 1.5479,                 2.3923,                 2.0054,                 1.5068,                 2.7325,                 1.8706,                 0.2669,                0.34849,                0.23418,                0.14732,                 1.4816,                 2.0856,                 2.0411,                 1.4533,                 2.3906,                 1.9159,              0.0009835,              0.0009835,              0.0009835
                      8,                 1.4589,                 2.2273,                 1.9128,                 1.4494,                 2.5569,                  1.821,                0.29007,                0.37731,                0.26152,                0.16552,                  1.304,                 1.9779,                 1.8794,                 1.3439,                 2.2276,                 1.8372,              0.0009802,              0.0009802,              0.0009802
                      9,                 1.3918,                 2.1216,                 1.8422,                 1.4043,                 2.4339,                 1.7737,                0.27823,                0.40788,                0.26302,                0.17794,                 1.2338,                 1.9731,                 1.7575,                 1.2816,                 2.2343,                 1.7413,              0.0009769,              0.0009769,              0.0009769
                     10,                 1.3048,                 1.9997,                 1.7693,                 1.3337,                  2.292,                 1.7246,                0.35754,                0.43561,                0.32193,                0.21586,                 1.2191,                 1.7605,                 1.7706,                 1.2583,                 2.0288,                 1.7416,              0.0009736,              0.0009736,              0.0009736
